,Name,Price,Reviews
229,"Redmi 5A (Grey, 16 GB)","6,499",4.5
230,"Mi Max (Gold, 32 GB)","14,999",4.3
231,"Mi Max (Silver, 32 GB)","14,999",4.3
232,"Redmi Note 7S (Astro Moonlight White, 64 GB)","11,999",4.4
233,"Redmi K20 (Flame Red, 128 GB)","21,999",4.5
234,"Mi 5 (White, 32 GB)","24,999",4.3
235,"Mi 5 (Gold, 32 GB)","24,999",4.3
236,"Mi 5 (Black, 32 GB)","24,999",4.3
237,"Mi 4i (Blue, 16 GB)","11,999",4.2
238,"Mi Max (Dark Grey, 32 GB)","14,999",4.3
239,"Redmi 3S (Dark Grey, 16 GB)","6,999",4.3
240,"Redmi 3S (Dark Grey, 16 GB)","6,999",4.3
241,"Redmi Note 4 (Lake Blue, 64 GB)","12,999",4.4
242,"Redmi 2 (White, 8 GB)","5,999",4.2
243,"Redmi 6 Pro (Black, 32 GB)","8,500",4.3
244,"MI4 (White, 16 GB)","14,999",4.1
245,"Mi 4i (Grey, 32 GB)","14,999",4.2
246,"Redmi Note 4 (Black, 64 GB)","11,998",4.4
247,"Redmi 1S (Metal Gray, 8 GB)","5,999",4.3
248,"Redmi 5 (Gold, 64 GB)","8,980",4.3
249,"Redmi Note 4 (Gold, 64 GB)","12,499",4.4
250,"Redmi Note 8 (Neptune Blue, 128 GB)","15,980",4.4
251,"Mi 10 (Twilight Grey, 128 GB)","46,999",4.4
252,"Mi 10 (Coral Green, 256 GB)","54,999",4.4
253,"Mi A1 (Rose Gold, 64 GB)","14,999",4.4
254,"Redmi Note 6 Pro (Rose Gold, 64 GB)","11,999",4.5
255,"Redmi 4 (Gold, 32 GB)","8,800",4.2
256,"Redmi 4 (Black, 32 GB)","8,800",4.2
257,"Redmi K20 (Glacier Blue, 64 GB)","21,999",4.5
258,"Mi A2 (Gold, 64 GB)","10,599",4.2
259,"Redmi 6 (Blue, 32 GB)","7,999",4.4
260,"Redmi Y1 (Gold, 32 GB)","8,999",4.3
261,"Mi Mix 2 (Black, 128 GB)","19,999",4.3
